policy,fill_rate,avg_inventory_value,annual_holding_cost,ordering_cost,total_cost,shortfall_units,stockout_days,avg_safety_stock_units
Flat 21-day buffer,0.9992251911358333,137564.73875673432,34391.18468918358,14625.0,49016.18468918358,189.51824817518246,18,111.013549270073
Uniform 99%,0.9970043449734367,96888.0819948429,24222.020498710724,14650.0,38872.02049871073,732.737219497393,40,47.197310805607806
Segment-optimised,0.9917422028058775,89916.8083912496,22479.2020978124,14600.0,37079.2020978124,2019.8571936823466,98,35.979519208734914
