model,wmape,mae,rmse,bias,vs_seasonal_naive_pct
HoltWinters,0.7026679216980939,7.9913107951161315,20.344665486083276,0.9580084010593984,24.613612889479665
LightGBM,0.8234424830648258,9.380488529297942,25.40678003306969,5.58327133014238,11.65620078179038
SeasonalNaive,0.9320886019752431,10.610774818401937,28.38130561816048,0.29317998385794997,0.0
Naive,0.9647591653396553,11.019774011299434,29.41225661490512,0.12590799031476999,-3.505092036870542
MovingAvg28,1.320653658631579,15.01906059033783,32.70557113834028,5.473329586071717,-41.68756659322998
