service_level,z,safety_stock_units,safety_stock_value,annual_holding_cost,value_vs_90pct
0.8,0.8416212335729143,2048.9932422295597,11588.147997840038,2897.0369994600096,0.6567205379794953
0.85,1.0364333894937898,2523.278793808937,14270.485377810402,3567.6213444526006,0.8087332709498534
0.9,1.2815515655446004,3120.0383172629445,17645.478293541437,4411.369573385359,1.0
0.95,1.6448536269514722,4004.525826626926,22647.726202176775,5661.931550544194,1.2834861047924244
0.98,2.0537489106318225,5000.013629951212,28277.739887538693,7069.434971884673,1.6025487899576434
0.99,2.3263478740408408,5663.677296672937,32031.111363958087,8007.777840989522,1.815258891320733
